,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-12_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-12,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-12_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-12,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-12_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-12,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-12_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-12,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-13_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-13,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-13_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-13,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-13_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-13,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-13_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-13,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-13_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-13,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-14_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-14,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-14_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-14,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-14_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-14,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-14_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-14,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-14_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-14,CK19,JE-TMA-42,120.0,1.0
Registered-R2_PCNA.HER2.ER.Ecad_JE-TMA-42-Scene-01_c1_ORG.tif,R2,c1,ORG,JE-TMA-42-Scene-01,DAPI,JE-TMA-42,10.0,2.0
