,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-02_c1_ORG.tif,R8,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-02_c2_ORG.tif,R8,c2,ORG,HER2B-K175-Scene-02,CK8,HER2B-K175,20.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-02_c3_ORG.tif,R8,c3,ORG,HER2B-K175-Scene-02,cPARP,HER2B-K175,400.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-02_c4_ORG.tif,R8,c4,ORG,HER2B-K175-Scene-02,ColIV,HER2B-K175,500.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-02_c5_ORG.tif,R8,c5,ORG,HER2B-K175-Scene-02,CD20,HER2B-K175,500.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-06_c1_ORG.tif,R8,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-06_c2_ORG.tif,R8,c2,ORG,HER2B-K175-Scene-06,CK8,HER2B-K175,20.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-06_c3_ORG.tif,R8,c3,ORG,HER2B-K175-Scene-06,cPARP,HER2B-K175,400.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-06_c4_ORG.tif,R8,c4,ORG,HER2B-K175-Scene-06,ColIV,HER2B-K175,500.0,8.0
Registered-R8_CK8.cPARP.ColIV.CD20_HER2B-K175-Scene-06_c5_ORG.tif,R8,c5,ORG,HER2B-K175-Scene-06,CD20,HER2B-K175,500.0,8.0
