,rounds,color,imagetype,scene,marker
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-002_c2_ORG.tif,R17,c2,ORG,Her2B-K157-Scene-002,pHH3
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-002_c3_ORG.tif,R17,c3,ORG,Her2B-K157-Scene-002,pS6RP
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-002_c4_ORG.tif,R17,c4,ORG,Her2B-K157-Scene-002,pERK
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-002_c5_ORG.tif,R17,c5,ORG,Her2B-K157-Scene-002,CD20
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-006_c1_ORG.tif,R17,c1,ORG,Her2B-K157-Scene-006,DAPI
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-006_c2_ORG.tif,R17,c2,ORG,Her2B-K157-Scene-006,pHH3
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-006_c3_ORG.tif,R17,c3,ORG,Her2B-K157-Scene-006,pS6RP
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-006_c4_ORG.tif,R17,c4,ORG,Her2B-K157-Scene-006,pERK
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-006_c5_ORG.tif,R17,c5,ORG,Her2B-K157-Scene-006,CD20
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-008_c1_ORG.tif,R17,c1,ORG,Her2B-K157-Scene-008,DAPI
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-008_c2_ORG.tif,R17,c2,ORG,Her2B-K157-Scene-008,pHH3
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-008_c3_ORG.tif,R17,c3,ORG,Her2B-K157-Scene-008,pS6RP
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-008_c4_ORG.tif,R17,c4,ORG,Her2B-K157-Scene-008,pERK
Registered-R17_pHH3.pS6RP.pERK.CD20_Her2B-K157-Scene-008_c5_ORG.tif,R17,c5,ORG,Her2B-K157-Scene-008,CD20
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-002_c1_ORG.tif,R18,c1,ORG,Her2B-K157-Scene-002,DAPI
Registered-R18_CK17.EGFR.pAkt.GRNZB_Her2B-K157-Scene-002_c2_ORG.tif,R18,c2,ORG,Her2B-K157-Scene-002,CK17
